,ibns_20u,vgs_m1,name,type,time,OK
0,20.51292,0.6852182,tran_SchGtKttmmTtVt_29,Sch,Wed Mar  5 19:50:05 2025,True
1,20.4744,0.6861921,tran_SchGtKttmmTtVt_28,Sch,Wed Mar  5 19:50:03 2025,True
2,20.1207,0.682094,tran_SchGtKttmmTtVt_27,Sch,Wed Mar  5 19:50:00 2025,True
3,20.265819999999998,0.6851069,tran_SchGtKttmmTtVt_26,Sch,Wed Mar  5 19:49:58 2025,True
4,19.62006,0.682618,tran_SchGtKttmmTtVt_25,Sch,Wed Mar  5 19:49:56 2025,True
5,19.89281,0.6837408,tran_SchGtKttmmTtVt_24,Sch,Wed Mar  5 19:49:54 2025,True
6,20.87816,0.6854702,tran_SchGtKttmmTtVt_23,Sch,Wed Mar  5 19:49:52 2025,True
7,21.29018,0.6882198,tran_SchGtKttmmTtVt_22,Sch,Wed Mar  5 19:49:50 2025,True
8,20.11535,0.6825532,tran_SchGtKttmmTtVt_21,Sch,Wed Mar  5 19:49:48 2025,True
9,20.184910000000002,0.6845814,tran_SchGtKttmmTtVt_20,Sch,Wed Mar  5 19:49:46 2025,True
10,20.41689,0.6854631,tran_SchGtKttmmTtVt_19,Sch,Wed Mar  5 19:49:45 2025,True
11,21.36651,0.6890285,tran_SchGtKttmmTtVt_18,Sch,Wed Mar  5 19:49:43 2025,True
12,21.11041,0.6882657,tran_SchGtKttmmTtVt_17,Sch,Wed Mar  5 19:49:41 2025,True
13,20.09249,0.6833235,tran_SchGtKttmmTtVt_16,Sch,Wed Mar  5 19:49:38 2025,True
14,19.45013,0.6854714,tran_SchGtKttmmTtVt_15,Sch,Wed Mar  5 19:49:37 2025,True
15,20.20172,0.685364,tran_SchGtKttmmTtVt_14,Sch,Wed Mar  5 19:49:35 2025,True
16,19.20762,0.6844017,tran_SchGtKttmmTtVt_13,Sch,Wed Mar  5 19:49:34 2025,True
17,21.4532,0.6874607,tran_SchGtKttmmTtVt_12,Sch,Wed Mar  5 19:49:32 2025,True
18,20.27479,0.6882798,tran_SchGtKttmmTtVt_11,Sch,Wed Mar  5 19:49:30 2025,True
19,19.729680000000002,0.683443,tran_SchGtKttmmTtVt_10,Sch,Wed Mar  5 19:49:29 2025,True
20,22.07064,0.6920272,tran_SchGtKttmmTtVt_9,Sch,Wed Mar  5 19:49:27 2025,True
21,21.13267,0.6876849,tran_SchGtKttmmTtVt_8,Sch,Wed Mar  5 19:49:25 2025,True
22,19.38111,0.6833165,tran_SchGtKttmmTtVt_7,Sch,Wed Mar  5 19:49:23 2025,True
23,20.80619,0.6864,tran_SchGtKttmmTtVt_6,Sch,Wed Mar  5 19:49:21 2025,True
24,21.95178,0.6888108,tran_SchGtKttmmTtVt_5,Sch,Wed Mar  5 19:49:18 2025,True
25,21.39959,0.6884518,tran_SchGtKttmmTtVt_4,Sch,Wed Mar  5 19:49:15 2025,True
26,20.104470000000003,0.6814458,tran_SchGtKttmmTtVt_3,Sch,Wed Mar  5 19:49:13 2025,True
27,19.410719999999998,0.6824108,tran_SchGtKttmmTtVt_2,Sch,Wed Mar  5 19:49:11 2025,True
28,19.82019,0.6834591,tran_SchGtKttmmTtVt_1,Sch,Wed Mar  5 19:49:09 2025,True
29,22.095689999999998,0.6899041,tran_SchGtKttmmTtVt,Sch,Wed Mar  5 19:49:08 2025,True
